,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
5,PATIS ,  4.5 ,L,,,,
6,PINEAPPLE TIDBITS 490G ,,G,,,,
7,RICE,  26.7 ,KG,,,,
8,RED HOT SAUCE 1.5L,  2.75 ,L,,, ,
9,PICKLES (FOR EVENT) ,,G,,,,
10,RAISINS (FOR EVENT) 50G ,,G,,,,
11,ROCK SALT,  1.5 ,G,,,,
12,SAGO ,  70 ,G,,,,
13,SESAME OIL ,  300 ,L,,,,
14,SHIITAKE DRIED,  5 ,PACK,,,,
15,SINIGANG MIX,  1.2 ,KG,,,,
16,SMOKE BBQ SAUCE (FOR EVENT) 900G,  500 ,G,,,,
17,SMOKED PAPRIKA ,  1.65 ,KG,,,,
18,SOUR CREAM,  8.5 ,KG,,,,
19,SOYSAUCE ,,L,,,,
20,SPAM 340G,  12 ,CAN,,,,
21,STAR ANISE 50G ,  50 ,G,,,,
22,TARTAR SAUCE (FOR EVENT) 900G,,G,,,,
23,TOMATO KETCHUP ,  9 ,PCS,,,,
24,TOMATO SWEET BLEND,  39 ,PC,,,,
25,TOMATO WHOLE PEELED,  4 ,CAN,,,,
26,TRUFFLE OIL,  400 ,ML,,,,
27,TURMERIC,,G,,,,
28,UBE CONDENSADA (FOOD TASTING) ,,ML,,,,
29,VANILLA FLAVOR,  375 ,G,,,,
30,VINEGAR,  4.3 ,L,,,,
31,WHITE SESAME SEED,  560 ,G,,,,
32,WHITE SUGAR FOR KITCHEN,  710 ,KG,,,,
33,WHOLE BLACK PEPPER 1KG,  500 ,G,,,,
34,WORCESTERSHIRE SAUCE 210ML,  710 ,ML,,,,
,,,,,,,
,BAKING,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,ALL PURPOSE FLOUR,  31.15 ,KG,,,,
2,BAKING POWDER 500G,  510 ,G,,,,
3,BAKING SODA,  80 ,G,,,,
4,BREAD CRUMBS 230G,  2.82 ,KG,,,,
5,CAPUTO FLOUR 25KG,  36.25 ,KG,,,,
6,COCOA POWDER (FOR FOOD TASTING) 20G,,G,,,,
7,CORNSTARCH ,  15.98 ,KG,,,,
8,DARK CHOCOLATE,  460 ,G,,,,
9,INSTANT DRY YEAST 500G,  215 ,KG,,,,
10,MAYA PANCAKE,,G,,,,
11,OLIVE OIL,  9.51 ,L,,,,
12,ROYAL OIL,,L,,,,
13,SPRINGKLES,  290 ,G,,,,
14,,,,,,,
,,,,,,,
,,,,,,,
,BREAD & BAKERY,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,BAMBI SPRINGROLL WRAPPER 300G,  240.0 ,G,,,,
2,HOTDOG BUNS, -,PC,,,,
